iter	Passed	Remaining
885	2891	372
886	2893	368
887	2898	365
888	2900	362
889	2901	358
890	2903	355
891	2905	351
892	2907	348
893	2909	344
894	2912	341
895	2915	338
896	2916	334
897	2918	331
898	2920	328
899	2922	324
900	2923	321
901	2928	318
902	2930	314
903	2931	311
904	2932	307
905	2934	304
906	2936	301
907	2938	297
908	2941	294
909	2943	291
910	2944	287
911	2945	284
912	2947	280
913	2948	277
914	2950	274
915	2952	270
916	2955	267
917	2958	264
918	2959	260
919	2961	257
920	2962	254
921	2964	250
922	2966	247
923	2970	244
924	2972	241
925	2974	237
926	2975	234
927	2977	230
928	2978	227
929	2979	224
930	2981	220
931	2983	217
932	2985	214
933	2987	211
934	2989	207
935	2991	204
936	2995	201
937	2997	198
938	2999	194
939	3001	191
940	3003	188
941	3004	184
942	3005	181
943	3007	178
944	3010	175
945	3011	171
946	3013	168
947	3015	165
948	3017	162
949	3018	158
950	3022	155
951	3023	152
952	3025	149
953	3027	145
954	3029	142
955	3030	139
956	3031	136
957	3035	133
958	3037	129
959	3038	126
960	3040	123
961	3041	120
962	3043	116
963	3044	113
964	3046	110
965	3049	107
966	3052	104
967	3053	100
968	3055	97
969	3056	94
970	3059	91
971	3061	88
972	3064	85
973	3066	81
974	3068	78
975	3069	75
976	3071	72
977	3073	69
978	3077	66
979	3081	62
980	3083	59
981	3086	56
982	3090	53
983	3092	50
984	3095	47
985	3097	43
986	3098	40
987	3100	37
988	3105	34
989	3106	31
990	3108	28
991	3111	25
992	3112	21
993	3114	18
994	3118	15
995	3120	12
996	3122	9
997	3123	6
998	3126	3
999	3127	0
